"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"B1";"2S Batt Pack";1;"2S Batt Pack";;;
2;"C1, C17";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100nf";;;
3;"C2, C19, C23";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";3;"47uF";;;
4;"C3, C4, C5, C6, C10, C11, C12, C13, C18";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"4.7uF";;;
5;"C7, C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2uF";;;
6;"C8, C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"30pF";;;
7;"C9, C16";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"18uF";;;
8;"C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
9;"C21, C22";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1uF";;;
10;"C27, C30";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uf";;;
11;"C28";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"47nF";;;
12;"ID2";"L_1008_2520Metric_Pad1.43x2.20mm_HandSolder";1;"1uh";;;
13;"L1, L2";"IND-SMD_L8.5-W8.0_PSPMAA0803H-330M-ANP";2;"3.3uH";;;
14;"L3, L4, L5, L6";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"LED";;;
15;"R1, R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"52.3kΩ";;;
16;"R2, R7, R8, R14, R15, R16, R17, R29, R31, R32, R33, R34";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";12;"10kΩ";;;
17;"R3, R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"102kΩ";;;
18;"R4, R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"36.5kΩ";;;
19;"R5, R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"53.6kΩ";;;
20;"R6, R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4.02kΩ";;;
21;"R18, R19, R20, R21, R24, R25";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"1kΩ";;;
22;"R22, R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100Ω";;;
23;"R28, R30";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100kΩ";;;
24;"R36";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"5.23kΩ";;;
25;"R37";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"383Ω";;;
26;"R38";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"30.1kΩ";;;
27;"R39";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"10Ω_2W";;;
28;"R40";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"300Ω";;;
29;"R41";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.2kΩ";;;
30;"SW1";"SwitchPads";1;"SW_DPDT_x2";;;
31;"TP1, TP2, TP3, TP4, TP5, TP7, TP9, TP10, TP11, TP12, TP13";"PAD-2x2";11;"~";;;
32;"TP14, TP15, TP16, TP17";"M3-Pad";4;"~";;;
33;"TP18, TP19";"PAD-2x2-ThroughHole";2;"~";;;
34;"TR1";"ThermistorPads";1;"10kΩ";;;
35;"U1, U5";"VQFN-14_L3.5-W3.5-P0.50-TL-EP_TPS54622RHLT";2;"TPS54620";;;
36;"U2, U4, U6, U8, U12";"SOT-23";5;"MMBT3906LT1G";;;
37;"U3, U7, U21";"SOT-223";3;"DMP6023LE-13";;;
38;"U9";"SOT-23";1;"2N7002";;;
39;"U10";"VQFN24_RGE_TEX";1;"BQ25887RGER";;;
40;"U11, U15";"SOT-23-6_Handsoldering";2;"DW01A";;;
41;"U13, U14, U16, U17";"SOT-23_Handsoldering";4;"AO3400A";;;
42;"U18";"TO-252-3_TabPin2";1;"LM1084RS-5.0";;;
43;"U19, U22";"SOT-23";2;"BC817";;;
44;"U23";"SOT-23-6";1;"CH221K";;;
45;"USBC2";"USB-C_SMD-TYPE-C-31-M-12_1";1;"USBC_Port";;;
